path,label,label_id,shape_area,shape_perimeter,shape_circularity,shape_aspect_ratio,shape_extent,shape_solidity,shape_equiv_diameter,shape_irregularity
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Tomato_Bacterial_spot/5bb01712-dec5-40e7-8ceb-a2836ffab201___GCREC_Bact.Sp 3851.JPG,Tomato_Bacterial_spot,5,32385.0,772.09753,0.6826678,0.84232366,0.6619586,0.9313528,203.06123,1.2103063
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Tomato_Septoria_leaf_spot/e09ba1ab-7952-4b09-a886-0025c4536d7c___Keller.St_CG 1936.JPG,Tomato_Septoria_leaf_spot,9,13558.0,636.6762,0.4203086,1.0745342,0.48676983,0.84229493,131.38715,1.5424669
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Tomato_Septoria_leaf_spot/cc24a097-d7aa-46b3-808d-d31acc19c97b___Matt.S_CG 2645.JPG,Tomato_Septoria_leaf_spot,9,13303.5,608.00714,0.45222902,0.74712646,0.58813,0.799009,130.14815,1.4870336
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Potato___Late_blight/03bab48b-962b-4c08-bc98-da95237d20ac___RS_LB 3190.JPG,Potato___Late_blight,3,33043.0,778.15643,0.68573374,1.0377358,0.70846915,0.94476056,205.11375,1.2075976
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Tomato__Tomato_YellowLeaf__Curl_Virus/3f2a9199-c753-4c26-b56b-b5075805ddba___UF.GRC_YLCV_Lab 02833.JPG,Tomato__Tomato_YellowLeaf__Curl_Virus,12,41814.5,893.4041,0.6583258,1.0340426,0.7322388,0.9468649,230.73767,1.2324791
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Tomato_Septoria_leaf_spot/3a89c017-4b4b-4f64-a018-05c98a2fa611___Matt.S_CG 1219.JPG,Tomato_Septoria_leaf_spot,9,32641.0,909.0681,0.49634138,0.93133044,0.64557666,0.8380984,203.86224,1.4194162
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Tomato__Target_Spot/a900dc26-f4fa-462f-9611-cd3d0464c44e___Com.G_TgS_FL 9668.JPG,Tomato__Target_Spot,11,22639.0,721.38684,0.5466768,0.800905,0.5787509,0.90992767,169.77888,1.352492
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Tomato__Target_Spot/3a8d5e93-55c3-44ca-9c5a-2803cac23804___Com.G_TgS_FL 8046.JPG,Tomato__Target_Spot,11,28800.5,807.2864,0.5553345,0.7822581,0.5986137,0.90093064,191.49396,1.3419077
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Tomato_Septoria_leaf_spot/cbc521e4-3e95-4c0d-a806-56519afd72df___JR_Sept.L.S 8561.JPG,Tomato_Septoria_leaf_spot,9,13022.5,729.1442,0.3078062,1.0160428,0.36652124,0.73469675,128.76631,1.8024421
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Pepper__bell___healthy/277eb282-4e80-4da6-8efe-740354fa368e___JR_HL 5995.JPG,Pepper__bell___healthy,1,28899.0,771.47015,0.6101751,0.8803419,0.59951454,0.9120576,191.82114,1.2801851
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Tomato_healthy/50a1376a-3a56-40b5-9f95-614689509505___GH_HL Leaf 413.JPG,Tomato_healthy,14,22656.0,691.5879,0.5952486,0.7909091,0.5918495,0.9171727,169.84262,1.2961367
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Tomato__Tomato_YellowLeaf__Curl_Virus/1d71aaf7-0c50-4668-818f-1481a1c367cd___YLCV_GCREC 2857.JPG,Tomato__Tomato_YellowLeaf__Curl_Virus,12,25204.0,792.4163,0.50439703,0.9594595,0.5330119,0.82717425,179.13885,1.4080359
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Tomato_healthy/39b1d9c6-7a13-426f-9154-563e6a8d0438___RS_HL 0563.JPG,Tomato_healthy,14,27274.5,914.60004,0.40973607,0.9177489,0.5569407,0.86224395,186.35175,1.5622405
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Tomato_Spider_mites_Two_spotted_spider_mite/fc135130-76fe-4249-a36f-8aa02129c7c7___Com.G_SpM_FL 9366.JPG,Tomato_Spider_mites_Two_spotted_spider_mite,10,13869.5,527.94824,0.6252993,0.490099,0.6935443,0.9494455,132.88791,1.2646083
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Tomato__Target_Spot/dc5a8cae-e762-467c-b23f-93c8c60c10b5___Com.G_TgS_FL 9954.JPG,Tomato__Target_Spot,11,27332.5,751.91376,0.6075096,0.8468468,0.65489024,0.92135644,186.54977,1.2829905
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Tomato__Tomato_YellowLeaf__Curl_Virus/1e624f89-d4ae-421b-9e9f-dcccd20211ac___YLCV_GCREC 5437.JPG,Tomato__Tomato_YellowLeaf__Curl_Virus,12,26795.0,923.6955,0.3946444,0.9628099,0.4752066,0.75518227,184.7064,1.5918312
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Tomato_Bacterial_spot/bd510221-f461-40d9-a959-1ca05a478fd6___GCREC_Bact.Sp 3331.JPG,Tomato_Bacterial_spot,5,32114.5,805.91376,0.62134653,0.90128756,0.6563356,0.9221945,202.2114,1.2686244
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Tomato_Late_blight/121097dd-b0cb-436b-9b2f-7dab30c86872___GHLB_PS Leaf 37.1 Day 13.jpg,Tomato_Late_blight,7,10285.0,604.2153,0.35402238,0.6611111,0.48015872,0.80110604,114.43456,1.6806785
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Potato___healthy/5d505af8-3f73-4781-980c-a4a696a04550___RS_HL 1934.JPG,Potato___healthy,4,26540.0,710.4996,0.66066784,0.89908254,0.62113833,0.9333404,183.8254,1.2302927
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Potato___Early_blight/ab808dff-e0fc-42d0-ad9a-c4cb7f69e59b___RS_Early.B 9210.JPG,Potato___Early_blight,2,35407.5,1096.5411,0.37004557,1.0343348,0.630554,0.88301307,212.32576,1.6438886
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Tomato__Tomato_YellowLeaf__Curl_Virus/4db90450-4f6c-4152-b3a1-dc4f8fcdc346___YLCV_NREC 0160.JPG,Tomato__Tomato_YellowLeaf__Curl_Virus,12,14006.0,563.931,0.5534419,0.7900553,0.5411274,0.84590065,133.54024,1.3442003
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Tomato_Late_blight/ce02cb11-2c42-48ab-b20a-6412252b7cf1___RS_Late.B 6249.JPG,Tomato_Late_blight,7,6281.0,735.6467,0.14584784,1.0559006,0.22948484,0.37036383,89.42716,2.6184845
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Tomato_Bacterial_spot/a7b44387-9845-46b5-b520-5a7420efee98___UF.GRC_BS_Lab Leaf 0763.JPG,Tomato_Bacterial_spot,5,26887.5,847.6295,0.47027096,0.8722467,0.59821784,0.86399424,185.02493,1.4582297
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Tomato_Septoria_leaf_spot/18d05aef-311a-4e99-9489-f702ecdaffb6___Matt.S_CG 1703.JPG,Tomato_Septoria_leaf_spot,9,20132.0,764.98486,0.43230587,0.83181816,0.50004965,0.8288014,160.10265,1.5209132
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Tomato__Target_Spot/d55566ba-9716-42ea-a474-9850db0811d6___Com.G_TgS_FL 0895.JPG,Tomato__Target_Spot,11,27762.0,860.7838,0.470839,0.8833333,0.5456368,0.8328933,188.00978,1.4573498
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Tomato_Spider_mites_Two_spotted_spider_mite/f5f292d9-5970-4db1-9089-878cec8ad285___Com.G_SpM_FL 1156.JPG,Tomato_Spider_mites_Two_spotted_spider_mite,10,18608.5,826.19806,0.3425728,0.78695655,0.44699734,0.7436707,153.92555,1.7085336
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Potato___Early_blight/8b5e48c6-7fac-4c87-bae4-6dd4ca5d110d___RS_Early.B 8905.JPG,Potato___Early_blight,2,41350.5,901.2275,0.63976693,1.0801687,0.68154174,0.9332724,229.4539,1.2502277
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Tomato__Tomato_YellowLeaf__Curl_Virus/1fb17deb-a5a4-46d8-9026-a1fec9b24bec___YLCV_GCREC 5199.JPG,Tomato__Tomato_YellowLeaf__Curl_Virus,12,23865.0,731.18585,0.56093913,1.0149254,0.5820164,0.88212466,174.31541,1.3351871
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Tomato_Septoria_leaf_spot/1ecc0c20-9ef3-40af-a8d8-9a43463a26b4___Matt.S_CG 7654.JPG,Tomato_Septoria_leaf_spot,9,31986.0,871.328,0.52942747,0.98723406,0.5866838,0.89955705,201.80644,1.3743482
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Potato___Late_blight/a221647c-0dda-468b-93f9-81f50b14ff81___RS_LB 3942.JPG,Potato___Late_blight,3,33901.5,784.5412,0.6921453,0.98660713,0.68482345,0.9576289,207.76123,1.2019914
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Potato___Early_blight/4efd8455-c6ef-4e25-abad-d4d273f84c28___RS_Early.B 8128.JPG,Potato___Early_blight,2,42077.0,1108.6661,0.43018287,0.96015936,0.6955911,0.9038612,231.4608,1.5246615
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Tomato_Late_blight/f34d61c3-c2de-4ed5-858b-03c7b21ebcb6___RS_Late.B 5018.JPG,Tomato_Late_blight,7,29475.5,1003.8549,0.36756077,0.96694213,0.52051103,0.87611276,193.72499,1.6494358
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Tomato_Spider_mites_Two_spotted_spider_mite/e6ffc869-ee06-4347-a039-11f4e4d585ce___Com.G_SpM_FL 8826.JPG,Tomato_Spider_mites_Two_spotted_spider_mite,10,23187.5,828.19806,0.42481065,0.8468085,0.4958302,0.80591905,171.82329,1.5342718
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Tomato_Spider_mites_Two_spotted_spider_mite/317f11f9-657f-43f7-943e-efb03cc62b40___Com.G_SpM_FL 1608.JPG,Tomato_Spider_mites_Two_spotted_spider_mite,10,19682.0,722.70056,0.47354615,0.7546296,0.5590207,0.87003803,158.30319,1.4531782
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Pepper__bell___healthy/18f75aea-62fb-4c71-998a-ff62d078ab21___JR_HL 8174.JPG,Pepper__bell___healthy,1,34615.0,802.6417,0.6751974,0.88617885,0.6454651,0.9461787,209.93614,1.2169833
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Pepper__bell___healthy/ca892e94-6f92-4676-bf0c-a81ee6eb8997___JR_HL 5827.JPG,Pepper__bell___healthy,1,28362.5,792.5412,0.5674279,0.8455285,0.5543015,0.871566,190.03226,1.327531
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Tomato_Late_blight/dbbe0ac5-5cb6-4bcd-940a-f0a8104d4e79___RS_Late.B 6067.JPG,Tomato_Late_blight,7,5423.0,508.81833,0.26322308,0.875817,0.26451078,0.60072005,83.09499,1.9491174
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Tomato_Late_blight/d84f5ea2-462a-40e2-8b01-916a65588aaf___GHLB_PS Leaf 22 Day 9.jpg,Tomato_Late_blight,7,20355.5,626.7767,0.6511274,0.6834171,0.7521246,0.9257129,160.9889,1.2392731
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Tomato_healthy/8e19f6ec-51c4-496a-9970-746085371064___RS_HL 9829.JPG,Tomato_healthy,14,30535.0,965.47015,0.41165188,0.9705882,0.555404,0.8584843,197.17598,1.558601
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Tomato__Tomato_mosaic_virus/97aa541d-9ac5-4933-8977-2bd64094ad38___PSU_CG 2070.JPG,Tomato__Tomato_mosaic_virus,13,12120.5,562.5757,0.4812475,0.4952381,0.55496794,0.8681996,124.22681,1.4415036
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Tomato_Bacterial_spot/5bc8227b-796d-40cb-8f9e-dc5b5a0fc055___GCREC_Bact.Sp 5664.JPG,Tomato_Bacterial_spot,5,33675.0,794.7838,0.66991454,0.808,0.6668317,0.9340545,207.06602,1.2217723
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Tomato_Bacterial_spot/8242a847-cd26-45ee-995d-dcec33ba89f3___GCREC_Bact.Sp 3806.JPG,Tomato_Bacterial_spot,5,31895.5,966.13916,0.42939788,0.96414346,0.52509797,0.8278847,201.52075,1.5260545
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Tomato_Late_blight/a87b8e0c-2279-4cf7-85a4-0fba63130902___RS_Late.B 5323.JPG,Tomato_Late_blight,7,34727.5,1243.4285,0.28225508,0.93359375,0.5675912,0.74058473,210.27702,1.8822578
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Tomato_Septoria_leaf_spot/cb6929ff-8e9b-42f2-97d4-ec388a5a6b06___JR_Sept.L.S 8461.JPG,Tomato_Septoria_leaf_spot,9,22780.0,707.38684,0.57207054,0.7556561,0.6172271,0.8873999,170.30678,1.3221332
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Tomato_Bacterial_spot/fd39fa01-b5c6-443d-a5f8-5e6edee2fdf8___GCREC_Bact.Sp 3154.JPG,Tomato_Bacterial_spot,5,30354.0,783.529,0.6213204,0.9147982,0.6672382,0.9186351,196.59073,1.268651
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Tomato_Late_blight/06c6a302-ae34-4d38-9e4b-3a6acdd42d91___GHLB2 Leaf 9047.JPG,Tomato_Late_blight,7,19085.5,825.77167,0.35171708,0.85148513,0.5493179,0.7778095,155.8859,1.6861774
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Tomato_Septoria_leaf_spot/1c721799-1ac2-47dd-8bc5-3f9414a34534___Matt.S_CG 7482.JPG,Tomato_Septoria_leaf_spot,9,29982.5,990.2224,0.3842485,1.0,0.5077563,0.8322462,195.38399,1.6132212
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Potato___Early_blight/129b1c3a-4f7d-4c45-ae03-2a4c3eb17dd4___RS_Early.B 7413.JPG,Potato___Early_blight,2,36857.0,834.4996,0.66508573,0.98237884,0.728097,0.94988596,216.62823,1.2261996
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Tomato__Tomato_YellowLeaf__Curl_Virus/2f682534-8b9b-42e8-9e24-b806d93d0747___UF.GRC_YLCV_Lab 02289.JPG,Tomato__Tomato_YellowLeaf__Curl_Virus,12,34657.0,817.73,0.65129983,0.9350649,0.6945847,0.9276623,210.06348,1.239109
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Tomato__Tomato_YellowLeaf__Curl_Virus/29f63a5e-06f8-48bd-a753-0ca7bc927ea6___UF.GRC_YLCV_Lab 09621.JPG,Tomato__Tomato_YellowLeaf__Curl_Virus,12,24894.5,1107.6884,0.25496355,0.975,0.44327813,0.6869059,178.03557,1.9804367
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Tomato__Tomato_YellowLeaf__Curl_Virus/1251fe8a-ac1a-40a5-b0b5-2a3b5dbcab8b___UF.GRC_YLCV_Lab 02082.JPG,Tomato__Tomato_YellowLeaf__Curl_Virus,12,40509.0,868.6762,0.6745988,1.0933334,0.73186994,0.9553446,227.10716,1.2175231
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Pepper__bell___healthy/82ff4b81-612a-4d2b-819e-a45353fa0379___JR_HL 7980.JPG,Pepper__bell___healthy,1,37356.0,847.21027,0.6540152,0.9919355,0.61231315,0.9238074,218.08974,1.236534
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Tomato__Tomato_YellowLeaf__Curl_Virus/391fc912-874a-4ccd-a397-e64333fba679___UF.GRC_YLCV_Lab 01509.JPG,Tomato__Tomato_YellowLeaf__Curl_Virus,12,17816.5,790.2914,0.35847405,0.6681416,0.52207994,0.7615191,150.61432,1.6702102
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Tomato_Bacterial_spot/4d8ed094-fe5e-472d-9787-5a681be52463___UF.GRC_BS_Lab Leaf 8590.JPG,Tomato_Bacterial_spot,5,28923.0,811.01935,0.55257446,0.90909094,0.6573409,0.9000467,191.90077,1.345255
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Potato___Late_blight/919150bd-372b-44e0-a70e-a13e60dccbce___RS_LB 3263.JPG,Potato___Late_blight,3,33930.5,915.3696,0.50887036,1.0555556,0.6889721,0.8984523,207.85008,1.4018335
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Pepper__bell___Bacterial_spot/2edf5fe8-706b-4ce7-8b59-dc6bfa4b6b42___JR_B.Spot 8823.JPG,Pepper__bell___Bacterial_spot,0,32010.0,836.3574,0.57505804,0.8833333,0.6291274,0.89289945,201.88214,1.3186944
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Pepper__bell___healthy/90c55e48-17d8-48fd-bf59-2ef16bf624a4___JR_HL 8453.JPG,Pepper__bell___healthy,1,32436.5,787.4529,0.657347,0.9065041,0.5912811,0.91751647,203.22263,1.2333963
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Pepper__bell___healthy/c704bd05-38e7-488a-9d97-d0cfccf1a5f8___JR_HL 8331.JPG,Pepper__bell___healthy,1,34969.5,827.9382,0.6410671,0.9518072,0.5925728,0.9231531,211.0084,1.2489592
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Tomato__Tomato_YellowLeaf__Curl_Virus/4ae10eb4-cd1f-490e-9ffe-61e348dad2b9___YLCV_GCREC 2785.JPG,Tomato__Tomato_YellowLeaf__Curl_Virus,12,28351.5,756.1148,0.6231756,0.8370044,0.6573499,0.91661954,189.99539,1.2667613
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Pepper__bell___Bacterial_spot/447735c7-b650-4ef6-a53b-8fb661470de3___JR_B.Spot 3370.JPG,Pepper__bell___Bacterial_spot,0,37946.0,982.6762,0.49380445,0.94140625,0.615048,0.89940745,219.80525,1.4230577
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Tomato_Early_blight/29645def-a571-4442-8f95-d7ebf71befde___RS_Erly.B 7751.JPG,Tomato_Early_blight,6,26076.0,797.12695,0.51569843,0.8,0.5902218,0.8910759,182.2114,1.3925221
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Tomato_healthy/1b150c8d-ab5d-43b5-a61d-c3fb3a8ffd54___GH_HL Leaf 321.JPG,Tomato_healthy,14,27406.0,780.2742,0.5656673,0.8648649,0.6429711,0.9109069,186.80043,1.3295953
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Potato___Early_blight/b805f812-ef18-47ed-9756-1f5a5dd05b5d___RS_Early.B 7746.JPG,Potato___Early_blight,2,44694.5,872.1148,0.7384424,0.9558233,0.7541848,0.9614098,238.55147,1.1637018
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Tomato_Leaf_Mold/f63bb2e2-d13c-4e48-8e94-4d97f0dbad49___Crnl_L.Mold 6799.JPG,Tomato_Leaf_Mold,8,25636.5,790.2569,0.51586014,0.9111111,0.55580485,0.88465786,180.66933,1.3923038
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Tomato_Bacterial_spot/90658246-1e73-4771-942c-17722d5e4634___GCREC_Bact.Sp 2967.JPG,Tomato_Bacterial_spot,5,30812.5,927.5118,0.45008853,0.884,0.5576923,0.8504105,198.06992,1.4905653
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Tomato_Bacterial_spot/6ce28ed1-b504-427c-97fe-1ca22d7dd20a___GCREC_Bact.Sp 3061.JPG,Tomato_Bacterial_spot,5,23517.0,1024.2986,0.28166875,0.98578197,0.5358412,0.7228993,173.03981,1.884216
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Tomato_Septoria_leaf_spot/a7c9d081-6e31-4344-bfe4-6184a6b16df8___JR_Sept.L.S 2588.JPG,Tomato_Septoria_leaf_spot,9,14829.5,757.4041,0.32484865,0.57894737,0.4198494,0.6928216,137.40999,1.7545246
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Tomato__Tomato_YellowLeaf__Curl_Virus/64009556-6711-4fcd-9235-17d74152dc0f___YLCV_GCREC 2659.JPG,Tomato__Tomato_YellowLeaf__Curl_Virus,12,25734.0,721.529,0.62116873,0.88073397,0.61482227,0.90190303,181.01256,1.268806
/Users/rashinfarahani/.cache/kagglehub/datasets/emmarex/plantdisease/versions/1/PlantVillage/Tomato__Target_Spot/e463ac05-4bd5-45a2-9739-79517670017a___Com.G_TgS_FL 9991.JPG,Tomato__Target_Spot,11,28033.5,812.0559,0.5342141,0.9017094,0.5677786,0.88227797,188.92686,1.3681772
